Identifiant;Gestionnaire;Ville;Rue;Numéro;Complément d'information;Coordonnées;Geo Shape;Code rue (lisrue);Identifiant d'adresse (ICAR / BeStaddress);Date de création;Date de dernière modification;Étage;Code postal;Identifiant de la rue (ICAR / BeStaddress)
14862;SIPPT;Liège;rue Hazinelle;2;2ème étage -  - 2ème étage;50.6398413726, 5.5699330873;"{""coordinates"": [5.5699330873, 50.6398413726], ""type"": ""Point""}";2039;1223117;2021-10-20;2021-10-20;2ème étage;4000;7731023
14870;SIPPT;Liège;Féronstrée;86;3ème étage -  - 3ème étage;50.6464578377, 5.5800180395;"{""coordinates"": [5.5800180395, 50.6464578377], ""type"": ""Point""}";5001;1132544;2023-07-12;2023-07-12;3ème étage;4000;7729833
14873;SIPPT;Liège;place du Marché;2;5ème étage -  - 5ème étage;50.6454019754, 5.5756296675;"{""coordinates"": [5.5756296675, 50.6454019754], ""type"": ""Point""}";1057;1872427;2023-07-11;2023-07-11;5ème étage;4000;7730010
1337;SIPPT;Liège;rue de Namur;2;du lundi au vendredi de 8h à 16h30 - 3ème étage -  - 3ème étage;50.6191130737, 5.5766514066;"{""coordinates"": [5.5766514066, 50.6191130737], ""type"": ""Point""}";3052;1115117;2021-10-20;2023-07-12;3ème étage;4000;7730485
1336;SIPPT;Liège;Féronstrée;136;Rez-de-chaussée (accueil) -  - Rez-de-chaussée (accueil);50.647163839, 5.5828979214;"{""coordinates"": [5.5828979214, 50.647163839], ""type"": ""Point""}";5001;1874089;2021-10-20;2021-10-20;Rez-de-chaussée (accueil);4000;7729833
14892;SIPPT;Liège;rue Saint-Laurent;79;;50.6412433052, 5.5581942047;"{""coordinates"": [5.5581942047, 50.6412433052], ""type"": ""Point""}";4001;1139173;2023-07-14;2023-07-14;;4000;7731313
4370;SIPPT;Liège;rue de Namur;2;Rez-de-chaussée (accueil) -  - Rez-de-chaussée (accueil);50.6191130737, 5.5766514066;"{""coordinates"": [5.5766514066, 50.6191130737], ""type"": ""Point""}";3052;1115117;2023-07-12;2023-07-12;Rez-de-chaussée (accueil);4000;7730485
1923;SIPPT;Liège;rue de Namur;2;Premier étage -  - Premier étage;50.6191130737, 5.5766514066;"{""coordinates"": [5.5766514066, 50.6191130737], ""type"": ""Point""}";3052;1115117;2023-07-12;2023-07-12;Premier étage;4000;7730485
14883;SIPPT;Liège;rue de Namur;2;2ème étage -  - 2ème étage;50.6191130737, 5.5766514066;"{""coordinates"": [5.5766514066, 50.6191130737], ""type"": ""Point""}";3052;1115117;2023-07-12;2023-07-12;2ème étage;4000;7730485
14872;SIPPT;Liège;rue Saint-Léonard;135;;50.649413605, 5.5915449041;"{""coordinates"": [5.5915449041, 50.649413605], ""type"": ""Point""}";5005;1874008;2023-07-12;2023-07-12;;4000;7731315
14867;SIPPT;Liège;Montagne de Bueren;6;Réfectoire -  - Réfectoire;50.6476788876, 5.5780275985;"{""coordinates"": [5.5780275985, 50.6476788876], ""type"": ""Point""}";5069;1873451;2023-07-12;2023-07-12;Réfectoire;4000;7729932
9751;SIPPT;Liège;rue Hazinelle;2;Complexe haute école -  - Complexe haute école;50.6398413726, 5.5699330873;"{""coordinates"": [5.5699330873, 50.6398413726], ""type"": ""Point""}";2039;1223117;2023-07-12;2023-07-12;Complexe haute école;4000;7731023
14869;SIPPT;Liège;Féronstrée;86;4éme étage -  - 4éme étage;50.6464559505, 5.580026617;"{""coordinates"": [5.580026617, 50.6464559505], ""type"": ""Point""}";5001;1132544;2023-07-13;2023-07-13;4éme étage;4000;7729833
14884;SIPPT;Liège;rue de la Goffe;12;Hall de réception -  - Hall de réception;50.6452236795, 5.5779055636;"{""coordinates"": [5.5779055636, 50.6452236795], ""type"": ""Point""}";1041;1136700;2023-07-12;2023-07-12;Hall de réception;4000;7730371
14871;SIPPT;Liège;Féronstrée;86;2ème étage -  - 2ème étage;50.6464578377, 5.5800180395;"{""coordinates"": [5.5800180395, 50.6464578377], ""type"": ""Point""}";5001;1132544;2023-07-12;2023-07-12;2ème étage;4000;7729833
2707;SIPPT;Liège;rue du Laveu;52;Local des professeurs -  - Local des professeurs;50.6308972392, 5.5556839582;"{""coordinates"": [5.5556839582, 50.6308972392], ""type"": ""Point""}";9045;1240544;2021-10-20;2021-10-20;Local des professeurs;4000;7730831
14864;SIPPT;Liège;rue Hazinelle;2;5ème étage -  - 5ème étage;50.6398413726, 5.5699330873;"{""coordinates"": [5.5699330873, 50.6398413726], ""type"": ""Point""}";2039;1223117;2023-07-12;2023-07-12;5ème étage;4000;7731023
4284;SIPPT;Liège;rue des Prés;222;;50.6652180254, 5.6544809115;"{""coordinates"": [5.6544809115, 50.6652180254], ""type"": ""Point""}";6639;;2021-10-20;2021-10-20;;4020;7730706
